SEQN,CBQ502,CBQ503,CBQ506,CBQ536,CBQ541,CBQ551,CBQ581,CBQ586,CBQ830,CBQ835,CBQ840,CBQ845,CBQ850,CBQ855,CBQ860,CBQ865,CBQ870,CBQ875,CBQ880,CBQ885,CBQ890,CBQ895,CBQ900,CBQ700,DBQ780,DBQ750,DBQ760,DBQ770,CBQ905,CBQ910,CBQ685,CBQ915,CBQ925,CBQ930,CBQ935,CBQ945,CBQ950,CBQ738A,CBQ738B,CBQ738C,CBQ738D,CBQ738E,CBQ738F,CBQ738G,CBQ738H,CBQ738I,CBQ738J,CBQ738K,CBQ738CD,CBQ698A,CBQ698B,CBQ698C,CBQ698D,CBQ698E,CBQ698F,CBQ698G,CBQ698H,CBQ698I,CBQ698CD,CBQ695A,CBQ695B,CBQ695C,DBD930,DBD935,DBD940,DBD945,CBD760,CBD765,CBD770,CBQ785,WTDRD1
93704.0,1.0,,1.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,,1.0,2.0,,1.0,2.0,,2.0,,,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,,,,4.0,,,,,9.0,,,,,,,,,,,,,,,2.0,,1.0,1.0,2.0,1.0,32.0,3.0,2.0,1.0,81714.005497
93707.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,,,3.0,4.0,,6.0,7.0,8.0,9.0,,11.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,48.0,3.0,2.0,1.0,15333.776805
93719.0,1.0,,1.0,2.0,,1.0,1.0,2.0,2.0,,,2.0,,,1.0,2.0,,1.0,2.0,,2.0,,,1.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,,3.0,4.0,1.0,1.0,3.0,,,3.0,,,,,,,10.0,11.0,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,2.0,38.0,3.0,2.0,1.0,61579.904387
93720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16512.570217
93724.0,2.0,1.0,2.0,,,2.0,,,2.0,,,2.0,,,2.0,,,2.0,,,2.0,,,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,,,3.0,3.0,5.0,3.0,1.0,,3.0,,,,,,9.0,10.0,11.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,65.0,1.0,2.0,1.0,8650.873992
93733.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,,2.0,,,1.0,2.0,,1.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,1.0,2.0,,,,,7.0,,,10.0,11.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,35.0,3.0,2.0,1.0,38169.824173
93736.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,,2.0,,,1.0,2.0,,2.0,,,1.0,2.0,,1.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,,,5.0,3.0,4.0,5.0,,,,,,,,,,,11.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,33.0,2.0,2.0,1.0,15750.629557
93739.0,2.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,,2.0,,,2.0,,,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,,2.0,3.0,3.0,2.0,,,,4.0,,,7.0,,9.0,10.0,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,2.0,35.0,2.0,2.0,2.0,21461.642128
93741.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,2.0,,,2.0,,,1.0,3.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,,,,,,,7.0,,,,11.0,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,2.0,39.0,3.0,2.0,1.0,9041.270081
93744.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,,2.0,,,2.0,,,2.0,,,2.0,,,1.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,,3.0,5.0,2.0,5.0,6.0,1.0,,3.0,,,,,,,10.0,,,,,,,,,,,,,9.0,,,1.0,1.0,1.0,2.0,41.0,3.0,1.0,1.0,37197.306441
